공고번호,축종,품종,털색,성별,중성화_여부,특징,접수일시,구조사유,발생장소,공고기간,관할보호센터명,보호장소,전화번호,관할기관,담당자,연락처,특이사항,url,url2
경남-함양-2022-00118,개,믹스견,"흰색, 황토색",수컷,아니오,"흰색, 황토색, 약 6살정도, 약 8kg, 진드기 등이 많이 붙어있음, 주인이 있는 것으로 추정",2022-06-26,유기견,함양군청,2022-06-26 ~ 2022-07-06 ,함양군위탁보호소 ,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터)   ",055-960-8143 ,경상남도 함양군  , ,055-960-8140, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261506919_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261506919.jpeg
경남-창원3-2022-00180,개,믹스견,흰색+검정,수컷,아니오,"목줄(초록색)착용, 웃는 얼굴 매력적임",2022-06-26,,용원동 부영3차 놀이터 부근,2022-06-26 ~ 2022-07-06 ,진해유기동물보호소 ,경상남도 창원시 진해구 웅천로 218 (성내동)  도시농업과 부지 내 ,055-225-5701 ,경상남도 창원시 진해구  ,창원진해구 ,055-225-5701, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261406660_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261406660.jpg
경남-창원2-2022-00146,개,말티즈,흰색,수컷,예,"순함, 파란색 민소매 줄무늬옷착용, 미용한지 얼마 안된듯함",2022-06-26,,교방동 365,2022-06-26 ~ 2022-07-06 ,마산유기동물보호소 ,경상남도 창원시 마산합포구 진북면 지산2길 139-112  226-19 ,055-225-5701 ,경상남도 창원시 마산합포회원구  ,창원마산합포회원구 ,055-225-5701, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106954_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106954.jpg
경남-창원2-2022-00145,개,믹스견,갈색+흰색,수컷,아니오,"주황색목줄착용, 시츄믹스추정, 미용되있음, 한쪽눈없고 반대쪽눈은 백내장심함, 내장칩 있음 이름 : 다래",2022-06-26,,노산서 2길 철길 산책로,2022-06-26 ~ 2022-07-06 ,마산유기동물보호소 ,경상남도 창원시 마산합포구 진북면 지산2길 139-112  226-19 ,055-225-5701 ,경상남도 창원시 마산합포회원구  ,창원마산합포회원구 ,055-225-5701, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106247_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106247.jpg
경남-창원2-2022-00144,개,믹스견,흰색,수컷,아니오,"목줄착용, 온순",2022-06-26,,진동면 동전마을 회관,2022-06-26 ~ 2022-07-06 ,마산유기동물보호소 ,경상남도 창원시 마산합포구 진북면 지산2길 139-112  226-19 ,055-225-5701 ,경상남도 창원시 마산합포회원구  ,창원마산합포회원구 ,055-225-5701, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106526_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106526.jpg
경남-창원2-2022-00143,개,믹스견,갈색+흰색,미상,미상,"가슴등 부상당함, 병원이송",2022-06-26,,내서읍 호계본동 2길 15-3,2022-06-26 ~ 2022-07-06 ,마산유기동물보호소 ,경상남도 창원시 마산합포구 진북면 지산2길 139-112  226-19 ,055-225-5701 ,경상남도 창원시 마산합포회원구  ,창원마산합포회원구 ,055-225-5701, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106150_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106150.jpg
경북-청송-2022-00133,개,믹스견,흰색 + 회색,암컷,아니오,"흰색+회색 점박이, 목테 있음",2022-06-26,,청송읍 청운리 944 (태양의 집 근방),2022-06-26 ~ 2022-07-06 ,점곡보호소 ,경상북도 청송군 현동면 청송로 3128-141   ,054-870-6282 ,경상북도 청송군  ,청송군 ,054-870-6282, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106794_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106794.jpg
경북-구미-2022-00407,개,라브라도 리트리버,검정 녹색목띠,암컷,아니오,온순하고 왼쪽앞발 덫에걸려 상처를 입음,2022-06-26,,선산읍 내고리내고3길 111-10,2022-06-26 ~ 2022-07-08 ,구미시 동물보호센터 ,경상북도 구미시 해평면 낙동대로 2206   ,054-471-5718 ,경상북도 구미시  ,김휘주 ,054-480-5842, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/20220626140658_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/20220626140658.jpg
경북-구미-2022-00406,개,믹스견,연갈색,암컷,아니오,온순활발함,2022-06-26,,인동중앙로 10길24,2022-06-26 ~ 2022-07-08 ,구미시 동물보호센터 ,경상북도 구미시 해평면 낙동대로 2206   ,054-471-5718 ,경상북도 구미시  ,김휘주 ,054-480-5842, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261306648_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261306648.jpg
경북-구미-2022-00405,개,푸들,갈색,수컷,아니오,온순함,2022-06-26,,인동중앙로 10길24,2022-06-26 ~ 2022-07-08 ,구미시 동물보호센터 ,경상북도 구미시 해평면 낙동대로 2206   ,054-471-5718 ,경상북도 구미시  ,김휘주 ,054-480-5842, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261306760_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261306760.jpg
경북-포항-2022-00607,개,믹스견,백,수컷,아니오,"발견당시 줄에목걸려있었음,4개월추정,진도믹스느낌의 똘똘한왕자님,돌아다닌지꽤된듯 진드기많음경계있음",2022-06-26,,경북 포항시 북구 흥해읍 학천리 495-5,2022-06-26 ~ 2022-07-06 ,영일동물플러스 ,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍)   ,054-262-8295 ,경상북도 포항시  ,이형석 ,054-270-3368, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261706202_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261706202.jpg
