공고번호,축종,품종,털색,성별,중성화_여부,특징,접수일시,구조사유,발생장소,공고기간,관할보호센터명,보호장소,전화번호,관할기관,담당자,연락처,특이사항,url,url2
경남-거제-2022-00562,고양이,한국 고양이,"회색,흰색",미상,미상,순함,2022-06-26,유기묘발생,고현동 159-65,2022-06-26 ~ 2022-07-06 ,거제시유기동물보호소 ,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장)  거제시유기동물보호소 ",055-639-6368 ,경상남도 거제시  ,김부근 ,055-639-6366, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261506495_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261506495.jpg
경북-포항-2022-00604,고양이,한국 고양이,황백,미상,아니오,"항문과생식기에심한구더기증발견,경골일부와발목관절부터원위쪽으로심한부종과괴사로인한표피손상병원확인",2022-06-26,,경북 포항시 북구 청하면 이가리 398-1,2022-06-26 ~ 2022-07-06 ,영일동물플러스 ,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍)   ,054-262-8295 ,경상북도 포항시  ,이형석 ,054-270-3368, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261606599_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261606599.jpg
전남-목포-2022-00554,고양이,한국 고양이,검흰색,수컷,아니오,"굶주림,차도를 배회,7주령추정",2022-06-26,,대한염업조합부근,2022-06-26 ~ 2022-07-06 ,목포시유기동물보호소 ,전라남도 무안군 삼향읍 석매길 36   ,010-9678-9966 ,전라남도 목포시  ,축산계 ,061-270-8693, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206262006261_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206262006261.jpg
전남-목포-2022-00553,고양이,한국 고양이,검흰색,수컷,아니오,"굶주린채 차도를 배회,결막염증세보임,7주령",2022-06-26,,대한염업조합부근,2022-06-26 ~ 2022-07-06 ,목포시유기동물보호소 ,전라남도 무안군 삼향읍 석매길 36   ,010-9678-9966 ,전라남도 목포시  ,축산계 ,061-270-8693, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206262006129_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206262006129.jpg
전남-목포-2022-00552,고양이,한국 고양이,흰황색,수컷,아니오,"순하고 굶주림,인도를 배회,7주령",2022-06-26,,산성교회부근,2022-06-26 ~ 2022-07-06 ,목포시유기동물보호소 ,전라남도 무안군 삼향읍 석매길 36   ,010-9678-9966 ,전라남도 목포시  ,축산계 ,061-270-8693, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206262006400_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206262006400.jpg
전북-군산-2022-00581,고양이,믹스묘,치즈,수컷,아니오,생후 2개월 추정,2022-06-26,,평화동 158,2022-06-26 ~ 2022-07-11 ,군산유기동물보호센터 ,전라북도 군산시 대야면 보덕안정길 108-20   ,063-451-2975 ,전라북도 군산시  ,홍지수 ,063-454-5913, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261806277_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261806277.jpg
충북-청주-2022-00687,고양이,한국 고양이,흰갈색,암컷,아니오,"눈에 고름, 허피스 있음, 수유봉사 중인 개체(청주 거주자에 한해 입양전제로 임보가능)",2022-06-26,,흥덕구 사운로 402,2022-06-26 ~ 2022-07-06 ,반려동물보호센터 ,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면)   ,043-201-2298 ,충청북도 청주시  ,정동복 ,043-201-2296, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261206534_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261206534.jpeg
충북-청주-2022-00686,고양이,한국 고양이,카오스,암컷,아니오,"눈에 고름, 허피스 있음, 수유봉사 중인 개체(청주 거주자에 한해 입양전제로 임보가능)",2022-06-26,,산남동 두꺼비 원흥이 방죽 터널,2022-06-26 ~ 2022-07-06 ,반려동물보호센터 ,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면)   ,043-201-2298 ,충청북도 청주시  ,정동복 ,043-201-2296, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261206525_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261206525.jpeg
경기-부천-2022-00364,고양이,한국 고양이,검,수컷,아니오,"생후3개월추정,호흡기바이러스질환의심,마름",2022-06-26,집앞에서 상태가 안좋은 새끼고양이를 발견하여 신고,심곡동 40-39,2022-06-26 ~ 2022-07-06 ,24시아이동물메디컬 ,경기도 부천시 오정구 원종동  229-8 ,032-677-5262 ,경기도 부천시  ,부천시 ,032-625-2803, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261906759_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261906759.jpg
경기-성남-2022-00425,고양이,한국 고양이,백갈색,암컷,미상,양쪽 다리부상,2022-06-26,동물수호천사에서 구조후 데려오심,수진동3021,2022-06-26 ~ 2022-07-06 ,펫토피아동물병원 ,"경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합)   ",031-714-8392 ,경기도 성남시  ,성남시청 동물보호팀 ,031-729-3286, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261506926_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261506926.jpeg
울산-중구-2022-00171,고양이,한국 고양이,고등어,수컷,예,중성화수술된개체 활력저하 부상,2022-06-26,,반구동,2022-06-26 ~ 2022-07-06 ,산타클라라동물병원 ,울산광역시 중구 다운로 1 (다운동)   ,052-244-4296 ,울산광역시 중구  ,권나영(중구청) ,052-290-3333, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106209_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106209.jpg
